status,is_placeholder,sdc_rate,requested_sdc,actual_sdc,total_cores,num_nodes,runs_ok,process_time_s_mean,process_time_s_median,speedup_vs_80_mean,efficiency_vs_80_mean,first_tree_s_mean,twin_tree_s_mean,traversal_s_mean,third_tree_s_mean,overhead_vs_first_s_mean,recovery_overhead_s_mean
ok,0,0.000002,1,1,640,16,20,14.57302460935,14.5513316285,4.53812508751399,0.5672656359392487,5.66573414035,5.4737202931999995,0.29030527665,3.12777556235,8.907290469,8.8918011322
ok,0,0.000002,2,2,640,16,10,14.6369715448,14.594125017,4.522165587629038,0.5652706984536298,5.6907438364,5.4975600829,0.2985003796,3.1343607045,8.946227708399999,8.930421167
ok,0,0.000002,3,2,640,16,5,14.5376952512,14.534600873,4.614148617158763,0.5767685771448454,5.6738298364,5.4553333102,0.285250392,3.1077819204,8.8638654148,8.8483656226
ok,0,0.000002,4,2,640,16,7,14.576644394571428,14.577110093,4.5759075641567755,0.5719884455195969,5.6723804285714285,5.486951836714286,0.2812116937142857,3.1209354694285714,8.904263966,8.889098999857143
incomplete,0,0.000006,3,0,640,16,0,,,,,,,,,,
ok,0,0.000006,3,3,640,16,13,15.921865558307692,15.832663213,4.57226705818287,0.5715333822728588,5.685494544461538,5.483710286923077,0.2810922902307692,4.455400103461539,10.236371013846155,10.220202680615385
ok,0,0.000006,4,4,640,16,4,16.6677584705,16.679719537,4.725513295408176,0.590689161926022,5.61431654325,5.4193888367500005,0.268388855,5.3504279045,11.053441927249999,11.03820559625
incomplete,0,0.000006,5,0,640,16,0,,,,,,,,,,
ok,0,0.000006,5,5,640,16,6,16.64203603,16.637275282,4.7715544461689285,0.5964443057711161,5.623103962333333,5.422585394333334,0.263194371,5.317518340333334,11.018932067666668,11.003298105666667
incomplete,0,0.000006,6,0,640,16,0,,,,,,,,,,
ok,0,0.000006,6,6,640,16,7,16.88970551342857,16.898564819,4.7212977752986705,0.5901622219123338,5.701355064142857,5.500322510857143,0.2700115711428571,5.402079990142857,11.188350449285714,11.172414072142857
